HA,2,33,w1,w2
IX,d,SE,1,6
0,0,34,-3,-5
1,0,34,3,5
2,0,37,-6,1
3,0,37,6,-1
4,0,45,-3,6
5,0,45,3,-6
6,1,26,-5,1
7,1,29,-2,-5
8,1,40,-2,6
9,1,41,4,5
10,1,50,7,-1
11,1,52,4,-6
12,2,17,-4,1
13,2,26,-1,-5
14,2,37,-1,6
15,2,50,5,5
16,2,61,5,-6
17,2,65,-7,-4
18,2,98,-7,7
19,3,10,-3,1
20,3,25,0,-5
21,3,36,0,6
22,3,52,-6,-4
23,3,61,6,5
24,3,72,6,-6
25,3,85,-6,7
26,4,16,4,0
27,4,26,1,-5
28,4,37,1,6
29,4,41,-5,-4
30,4,74,-5,7
31,4,74,7,5
32,4,85,7,-6
33,5,25,5,0
34,5,29,2,-5
35,5,32,-4,-4
36,5,40,2,6
37,5,53,-7,2
38,5,65,-4,7
39,6,25,-3,-4
40,6,34,3,-5
41,6,36,6,0
42,6,40,-6,2
43,6,45,3,6
44,6,58,-3,7
45,7,20,-2,-4
46,7,29,-5,2
47,7,41,4,-5
48,7,49,7,0
49,7,52,4,6
50,7,53,-2,7
51,8,17,-1,-4
52,8,20,-4,2
53,8,50,-1,7
54,8,50,5,-5
55,8,58,-7,-3
56,8,61,5,6
57,9,13,-3,2
58,9,16,0,-4
59,9,45,-6,-3
60,9,49,0,7
61,9,61,6,-5
62,9,72,6,6
63,10,17,1,-4
64,10,17,4,1
65,10,34,-5,-3
66,10,50,1,7
67,10,74,7,-5
68,10,85,7,6
69,11,20,2,-4
70,11,25,-4,-3
71,11,26,5,1
72,11,53,2,7
73,11,58,-7,3
74,12,18,-3,-3
75,12,25,3,-4
76,12,37,6,1
77,12,45,-6,3
78,12,58,3,7
79,13,13,-2,-3
80,13,32,4,-4
81,13,34,-5,3
82,13,50,7,1
83,13,65,4,7
84,14,10,-1,-3
85,14,25,-4,3
86,14,41,5,-4
87,14,53,-7,-2
88,14,74,5,7
89,15,13,3,2
90,15,18,-3,3
91,15,40,-6,-2
92,15,52,6,-4
93,15,85,6,7
94,16,13,-2,3
95,16,20,4,2
96,16,29,-5,-2
97,16,65,7,-4
98,16,98,7,7
99,17,13,2,-3
100,17,20,-4,-2
101,17,29,5,2
102,17,65,-7,4
103,17,98,-7,-7
104,18,13,-3,-2
105,18,18,3,-3
106,18,40,6,2
107,18,52,-6,4
108,18,85,-6,-7
109,19,10,1,3
110,19,25,4,-3
111,19,41,-5,4
112,19,53,7,2
113,19,74,-5,-7
114,20,13,2,3
115,20,32,-4,4
116,20,34,5,-3
117,20,50,-7,-1
118,20,65,-4,-7
119,21,18,3,3
120,21,25,-3,4
121,21,37,-6,-1
122,21,45,6,-3
123,21,58,-3,-7
124,22,20,-2,4
125,22,25,4,3
126,22,26,-5,-1
127,22,53,-2,-7
128,22,58,7,-3
129,23,17,-4,-1
130,23,17,-1,4
131,23,34,5,3
132,23,50,-1,-7
133,23,74,-7,5
134,23,85,-7,-6
135,24,13,3,-2
136,24,16,0,4
137,24,45,6,3
138,24,49,0,-7
139,24,61,-6,5
140,24,72,-6,-6
141,25,17,1,4
142,25,20,4,-2
143,25,50,-5,5
144,25,50,1,-7
145,25,58,7,3
146,25,61,-5,-6
147,26,20,2,4
148,26,29,5,-2
149,26,41,-4,5
150,26,49,-7,0
151,26,52,-4,-6
152,26,53,2,-7
153,27,25,3,4
154,27,34,-3,5
155,27,36,-6,0
156,27,40,6,-2
157,27,45,-3,-6
158,27,58,3,-7
159,28,25,-5,0
160,28,29,-2,5
161,28,32,4,4
162,28,40,-2,-6
163,28,53,7,-2
164,28,65,4,-7
165,29,16,-4,0
166,29,26,-1,5
167,29,37,-1,-6
168,29,41,5,4
169,29,74,-7,-5
170,29,74,5,-7
171,29,85,-7,6
172,30,10,3,-1
173,30,25,0,5
174,30,36,0,-6
175,30,52,6,4
176,30,61,-6,-5
177,30,72,-6,6
178,30,85,6,-7
179,31,17,4,-1
180,31,26,1,5
181,31,37,1,-6
182,31,50,-5,-5
183,31,61,-5,6
184,31,65,7,4
185,31,98,7,-7
186,32,26,5,-1
187,32,29,2,5
188,32,40,2,-6
189,32,41,-4,-5
190,32,50,-7,1
191,32,52,-4,6
