GIE, ,Plain, , ,Cipher, , 
Image,Type,Red,Green,Blue,Red,Green,Blue
AtriumNight,color,7.560142558834205,7.535293436487855,7.436103898733498,7.977657865058626,7.977423911045593,7.977349784005194
Boat,gray,7.19137018128053,,,7.985411933889791
Desk_oBA2,color,7.144377069917447,7.212650509904684,6.490277932839091,7.832440681216495,7.834869633263322,7.834654223374111
kodim04,color,7.098278604428822,7.222535530795713,7.314505523632617,7.9777810791719785,7.97765471447099,7.977536206207821
kodim07,color,7.17623753722979,7.101869551361877,6.920619027605285,7.982964490988054,7.983032157095824,7.982753632102925
kodim19,color,7.456971762963363,7.43290370321717,7.202383990962975,7.9987431139108915,7.998664406346098,7.998643872573814
kodim22,color,7.143604832999141,7.279388754944045,7.14015415139536,7.996545053670418,7.996605561545008,7.996602955501644
kodim23,color,7.469885801690567,7.4813941673582605,7.164971537306063,7.9896862360895025,7.989958976510672,7.9898192966078145
Peppers,color,7.338826928152933,7.4962533106597204,7.058305546211319,7.961424541976966,7.961217464569962,7.960999012856758
Tank,gray,5.495739968979388,,,7.986732901081579
